,name,teamName,errorsInFavor,totalErrors,errorsAgainst,errorDelta
806,Jenna Schroeder,Nets,0,6,1,-1
807,Nick Buchert,Kings,0,22,1,-1
808,Tyler Mirkovich,Rockets,0,4,1,-1
809,Bill Kennedy,Bucks,0,10,2,-2
810,Bill Kennedy,Pelicans,0,10,0,0
811,Ashley Moyer-Gleich,Magic,0,8,0,0
812,Ashley Moyer-Gleich,Knicks,0,8,0,0
813,Ashley Moyer-Gleich,Kings,0,8,2,-2
814,Ashley Moyer-Gleich,Jazz,0,8,0,0
815,Ashley Moyer-Gleich,Bulls,0,8,1,-1
816,Ashley Moyer-Gleich,76ers,0,8,3,-3
817,Ashley Moyer-Gleich,Nuggets,0,8,0,0
818,Ashley Moyer-Gleich,Pacers,0,8,1,-1
819,Bill Kennedy,Raptors,0,10,0,0
820,Bill Kennedy,Kings,0,10,0,0
821,Bill Kennedy,Jazz,0,10,0,0
822,Bill Kennedy,Thunder,0,10,0,0
823,Bill Kennedy,Warriors,0,10,0,0
824,Bill Kennedy,Wizards,0,10,0,0
825,Jenna Reneau,Pistons,0,4,1,-1
826,Nick Buchert,Knicks,0,22,0,0
827,Jason Goldenberg,Suns,0,12,1,-1
828,Kevin Cutler,Celtics,0,4,0,0
829,Mark Lindsay,Lakers,0,7,1,-1
830,Brandon Adair,Pacers,0,18,1,-1
831,Sean Wright,Trail Blazers,0,19,1,-1
832,Sean Wright,Rockets,0,19,0,0
833,Sean Wright,Jazz,0,19,0,0
834,Sean Wright,Hornets,0,19,2,-2
835,Sean Wright,Grizzlies,0,19,1,-1
836,Sean Wright,Cavaliers,0,19,0,0
837,Brandon Adair,Nuggets,0,18,2,-2
838,Kevin Cutler,Pelicans,0,4,0,0
839,Kevin Cutler,Suns,0,4,1,-1
840,Kevin Cutler,Timberwolves,0,4,0,0
841,Kevin Cutler,Trail Blazers,0,4,0,0
842,Bill Kennedy,76ers,0,10,0,0
843,Kevin Cutler,Wizards,0,4,0,0
844,Kevin Cutler,Kings,0,4,1,-1
845,Brandon Adair,Knicks,0,18,1,-1
846,Kevin Cutler,Lakers,0,4,0,0
847,Mark Lindsay,Bulls,0,7,2,-2
848,Mark Lindsay,Nets,0,7,1,-1
849,Danielle Scott,Heat,0,6,0,0
850,Mark Lindsay,Spurs,0,7,1,-1
851,Danielle Scott,Wizards,0,6,0,0
852,Jason Goldenberg,Nuggets,0,12,2,-2
853,Jason Goldenberg,Magic,0,12,0,0
854,Jason Goldenberg,Jazz,0,12,0,0
855,Jason Goldenberg,76ers,0,12,2,-2
856,Michael Smith,Celtics,0,7,2,-2
857,Michael Smith,Cavaliers,0,7,2,-2
858,Sean Corbin,Wizards,0,25,0,0
859,Sean Corbin,Mavericks,0,25,1,-1
860,Sean Corbin,76ers,0,25,2,-2
861,Sean Corbin,Bulls,0,25,1,-1
862,Sean Corbin,Heat,0,25,0,0
863,Sean Corbin,Knicks,0,25,1,-1
864,Brandon Adair,Wizards,0,18,0,0
865,Nick Buchert,Clippers,0,22,2,-2
866,Brandon Adair,Trail Blazers,0,18,1,-1
867,Michael Smith,Kings,0,7,1,-1
868,Ray Acosta,Kings,0,14,1,-1
869,Mitchell Ervin,Timberwolves,0,20,1,-1
870,Ray Acosta,Nets,0,14,1,-1
871,Josh Tiven,Nuggets,0,30,0,0
872,Tre Maddox,Warriors,0,15,0,0
873,Tre Maddox,Raptors,0,15,0,0
874,Tre Maddox,Pistons,0,15,1,-1
875,Tre Maddox,Nuggets,0,15,3,-3
876,Tre Maddox,Knicks,0,15,0,0
877,Tre Maddox,Hornets,0,15,0,0
878,Matt Boland,Thunder,0,25,0,0
879,Matt Boland,Wizards,0,25,0,0
880,Matt Boland,Rockets,0,25,1,-1
881,Matt Boland,Grizzlies,0,25,1,-1
882,Matt Boland,Bulls,0,25,0,0
883,Matt Boland,76ers,0,25,2,-2
884,Matt Myers,Timberwolves,0,20,1,-1
885,Matt Myers,Rockets,0,20,0,0
886,Matt Myers,Pacers,0,20,0,0
887,Matt Myers,Nets,0,20,1,-1
888,Matt Myers,Knicks,0,20,0,0
889,Tre Maddox,Pacers,0,15,0,0
890,Josh Tiven,Spurs,0,30,3,-3
891,Matt Myers,Heat,0,20,0,0
892,Josh Tiven,Raptors,0,30,4,-4
893,Scott Wall,Kings,0,19,3,-3
894,Scott Wall,Heat,0,19,2,-2
895,Scott Wall,Bulls,0,19,1,-1
896,Scott Twardoski,Jazz,0,29,4,-4
897,Scott Twardoski,Heat,0,29,0,0
898,Scott Twardoski,76ers,0,29,1,-1
899,Scott Twardoski,Celtics,0,29,0,0
900,Scott Twardoski,Pelicans,0,29,0,0
901,Scott Twardoski,Trail Blazers,0,29,0,0
902,Scott Twardoski,Spurs,0,29,3,-3
903,Ben Taylor,Raptors,0,28,2,-2
904,Ben Taylor,Heat,0,28,0,0
905,Ben Taylor,Kings,0,28,1,-1
906,Josh Tiven,Suns,0,30,0,0
907,Josh Tiven,Kings,0,30,1,-1
908,Josh Tiven,Magic,0,30,1,-1
909,Josh Tiven,Pelicans,0,30,0,0
910,Matt Myers,Jazz,0,20,0,0
911,Matt Myers,Grizzlies,0,20,1,-1
912,Ray Acosta,Pelicans,0,14,0,0
913,Brian Forte,Nuggets,0,21,3,-3
914,Brian Forte,Suns,0,21,0,0
915,Brian Forte,Bucks,0,21,2,-2
916,Brian Forte,Cavaliers,0,21,1,-1
917,James Capers,Magic,0,19,0,0
918,James Capers,Pacers,0,19,0,0
919,James Capers,Raptors,0,19,1,-1
920,James Capers,Rockets,0,19,1,-1
921,James Capers,Thunder,0,19,0,0
922,James Capers,Trail Blazers,0,19,0,0
923,James Capers,Celtics,0,19,3,-3
924,James Capers,Hawks,0,19,0,0
925,John Butler,Nets,0,25,1,-1
926,John Butler,Hornets,0,25,1,-1
927,John Butler,Bucks,0,25,0,0
928,John Butler,Rockets,0,25,0,0
929,John Butler,Raptors,0,25,0,0
930,Mousa Dagher,Celtics,0,22,3,-3
931,Brian Forte,Raptors,0,21,2,-2
932,Brian Forte,Jazz,0,21,0,0
933,Matt Myers,Bucks,0,20,4,-4
934,Brian Forte,Kings,0,21,0,0
935,Aaron Smith,Warriors,0,19,5,-5
936,Aaron Smith,Bulls,0,19,1,-1
937,Aaron Smith,Pelicans,0,19,1,-1
938,Aaron Smith,Cavaliers,0,19,0,0
939,Aaron Smith,Hornets,0,19,2,-2
940,Aaron Smith,Jazz,0,19,0,0
941,Aaron Smith,Knicks,0,19,0,0
942,Aaron Smith,Nets,0,19,1,-1
943,Eric Lewis,Jazz,0,20,0,0
944,Eric Lewis,Knicks,0,20,0,0
945,Eric Lewis,Suns,0,20,2,-2
946,Eric Lewis,Spurs,0,20,0,0
947,Eric Lewis,Rockets,0,20,0,0
948,Eric Lewis,Bulls,0,20,0,0
949,Brian Forte,Grizzlies,0,21,1,-1
950,Brian Forte,Thunder,0,21,2,-2
951,Brian Forte,Nets,0,21,0,0
952,Scott Wall,Lakers,0,19,1,-1
953,Scott Wall,Spurs,0,19,3,-3
954,David Guthrie,Nets,0,32,2,-2
955,Karl Lane,Heat,0,22,0,0
956,Karl Lane,Wizards,0,22,1,-1
957,Karl Lane,Kings,0,22,1,-1
958,Karl Lane,Nets,0,22,0,0
959,Karl Lane,Suns,0,22,1,-1
960,Karl Lane,Timberwolves,0,22,3,-3
961,Rodney Mott,Wizards,0,20,0,0
962,Rodney Mott,Trail Blazers,0,20,0,0
963,Rodney Mott,Thunder,0,20,0,0
964,Rodney Mott,Knicks,0,20,2,-2
965,Rodney Mott,Kings,0,20,1,-1
966,Rodney Mott,Hornets,0,20,3,-3
967,Rodney Mott,Bulls,0,20,0,0
968,Brent Barnaky,Nets,0,22,1,-1
969,Brent Barnaky,Nuggets,0,22,0,0
970,Brent Barnaky,Pacers,0,22,1,-1
971,Brent Barnaky,Raptors,0,22,1,-1
972,Brent Barnaky,Rockets,0,22,0,0
973,Karl Lane,76ers,0,22,2,-2
974,Karl Lane,Celtics,0,22,0,0
975,David Guthrie,Lakers,0,32,1,-1
976,Phenizee Ransom,Heat,0,17,1,-1
977,Jacyn Goble,Thunder,0,30,1,-1
978,Jacyn Goble,Heat,0,30,4,-4
979,Jacyn Goble,Kings,0,30,1,-1
980,Lauren Holtkamp,Grizzlies,0,28,0,0
981,Lauren Holtkamp,Wizards,0,28,2,-2
982,Lauren Holtkamp,Warriors,0,28,0,0
983,Lauren Holtkamp,Trail Blazers,0,28,0,0
984,Lauren Holtkamp,Thunder,0,28,1,-1
985,Lauren Holtkamp,Suns,0,28,0,0
986,Lauren Holtkamp,Raptors,0,28,2,-2
987,Lauren Holtkamp,Heat,0,28,0,0
988,Lauren Holtkamp,Jazz,0,28,2,-2
989,Lauren Holtkamp,Lakers,0,28,4,-4
990,Phenizee Ransom,Spurs,0,17,1,-1
991,Phenizee Ransom,Nuggets,0,17,1,-1
992,Phenizee Ransom,Lakers,0,17,0,0
993,Phenizee Ransom,Hornets,0,17,3,-3
994,Brent Barnaky,Magic,0,22,0,0
995,Brent Barnaky,Jazz,0,22,0,0
996,Brent Barnaky,Warriors,0,22,5,-5
997,Brent Barnaky,Wizards,0,22,0,0
998,Suyash Mehta,Spurs,0,14,0,0
999,Suyash Mehta,Jazz,0,14,0,0
1000,Suyash Mehta,Heat,0,14,2,-2
1001,Suyash Mehta,Bulls,0,14,3,-3
1002,Courtney Kirkland,Pistons,0,21,0,0
1003,Courtney Kirkland,Pelicans,0,21,0,0
1004,Courtney Kirkland,Mavericks,0,21,3,-3
1005,Courtney Kirkland,Rockets,0,21,0,0
1006,Courtney Kirkland,Trail Blazers,0,21,1,-1
1007,Courtney Kirkland,Timberwolves,0,21,1,-1
1008,Courtney Kirkland,Knicks,0,21,0,0
1009,Courtney Kirkland,Hornets,0,21,1,-1
1010,David Guthrie,Bulls,0,32,1,-1
1011,David Guthrie,Jazz,0,32,4,-4
1012,David Guthrie,Spurs,0,32,0,0
1013,David Guthrie,Trail Blazers,0,32,0,0
1014,David Guthrie,Hawks,0,32,0,0
1015,Tony Brothers,Bucks,0,24,4,-4
1016,Tony Brothers,Bulls,0,24,2,-2
1017,Tony Brothers,Grizzlies,0,24,0,0
1018,Gediminas Petraitis,76ers,0,31,2,-2
1019,Gediminas Petraitis,Jazz,0,31,2,-2
1020,Gediminas Petraitis,Lakers,0,31,1,-1
1021,Gediminas Petraitis,Nets,0,31,3,-3
1022,Gediminas Petraitis,Nuggets,0,31,1,-1
1023,Gediminas Petraitis,Pacers,0,31,0,0
1024,Gediminas Petraitis,Pistons,0,31,1,-1
1025,Gediminas Petraitis,Hawks,0,31,1,-1
1026,Gediminas Petraitis,Grizzlies,0,31,1,-1
1027,Tony Brothers,Hawks,0,24,1,-1
1028,Gediminas Petraitis,Cavaliers,0,31,2,-2
1029,Gediminas Petraitis,Trail Blazers,0,31,0,0
1030,Tony Brothers,Suns,0,24,1,-1
1031,Tony Brothers,Pelicans,0,24,0,0
1032,Tony Brothers,Pacers,0,24,0,0
1033,Tony Brothers,Kings,0,24,3,-3
1034,Tony Brothers,Heat,0,24,0,0
1035,Mousa Dagher,Cavaliers,0,22,0,0
1036,Mousa Dagher,Bulls,0,22,1,-1
1037,Mousa Dagher,Jazz,0,22,1,-1
1038,Ed Malloy,Bulls,0,16,0,0
1039,Ed Malloy,Clippers,0,16,0,0
1040,JB DeRosa,Bulls,0,20,2,-2
1041,JB DeRosa,Clippers,0,20,0,0
1042,JB DeRosa,Grizzlies,0,20,3,-3
1043,JB DeRosa,Heat,0,20,2,-2
1044,JB DeRosa,Kings,0,20,3,-3
1045,JB DeRosa,Knicks,0,20,1,-1
1046,JB DeRosa,Nets,0,20,0,0
1047,JB DeRosa,Nuggets,0,20,1,-1
1048,JB DeRosa,Raptors,0,20,0,0
1049,JB DeRosa,Suns,0,20,0,0
1050,Dedric Taylor,Kings,0,34,1,-1
1051,Dedric Taylor,Raptors,0,34,1,-1
1052,Dedric Taylor,Thunder,0,34,0,0
1053,Dedric Taylor,Bucks,0,34,1,-1
1054,Dedric Taylor,Bulls,0,34,1,-1
1055,J.T. Orr,Trail Blazers,0,12,1,-1
1056,Ed Malloy,Celtics,0,16,2,-2
1057,Ed Malloy,76ers,0,16,0,0
1058,Brett Nansel,Wizards,0,16,0,0
1059,Ed Malloy,Hawks,0,16,0,0
1060,Marc Davis,Nuggets,0,17,1,-1
1061,Marc Davis,Magic,0,17,0,0
1062,Marc Davis,Knicks,0,17,1,-1
1063,Marc Davis,Kings,0,17,2,-2
1064,Marc Davis,Celtics,0,17,3,-3
1065,Derek Richardson,Jazz,0,10,0,0
1066,Derek Richardson,Suns,0,10,1,-1
1067,Eric Dalen,Wizards,0,6,0,0
1068,Eric Dalen,Bucks,0,6,0,0
1069,Eric Dalen,Celtics,0,6,3,-3
1070,Eric Dalen,Hawks,0,6,0,0
1071,Eric Dalen,Hornets,0,6,0,0
1072,Eric Dalen,Rockets,0,6,0,0
1073,Eric Dalen,Timberwolves,0,6,3,-3
1074,Ed Malloy,Warriors,0,16,0,0
1075,Ed Malloy,Magic,0,16,0,0
1076,Ed Malloy,Pistons,0,16,0,0
1077,J.T. Orr,76ers,0,12,3,-3
1078,J.T. Orr,Hawks,0,12,0,0
1079,J.T. Orr,Kings,0,12,0,0
1080,Justin Van Duyne,Hawks,0,16,0,0
1081,Natalie Sago,Pelicans,0,19,0,0
1082,Natalie Sago,Kings,0,19,2,-2
1083,James Williams,Hawks,0,23,0,0
1084,James Williams,Heat,0,23,2,-2
1085,James Williams,Mavericks,0,23,2,-2
1086,James Williams,Nets,0,23,2,-2
1087,James Williams,Suns,0,23,0,0
1088,James Williams,Wizards,0,23,0,0
1089,Pat Fraher,Celtics,0,33,0,0
1090,Pat Fraher,Pacers,0,33,2,-2
1091,Pat Fraher,Jazz,0,33,2,-2
1092,Pat Fraher,Hornets,0,33,1,-1
1093,Pat Fraher,Heat,0,33,0,0
1094,Pat O'Connell,Jazz,0,8,1,-1
1095,Pat O'Connell,Grizzlies,0,8,1,-1
1096,Ray Acosta,Warriors,0,14,0,0
1097,Ray Acosta,Raptors,0,14,3,-3
1098,Natalie Sago,Spurs,0,19,0,0
1099,John Goble,Bucks,0,17,0,0
1100,John Goble,Rockets,0,17,0,0
1101,CJ Washington,Thunder,0,18,1,-1
1102,Justin Van Duyne,Hornets,0,16,0,0
1103,Justin Van Duyne,Knicks,0,16,1,-1
1104,Justin Van Duyne,Mavericks,0,16,2,-2
1105,Justin Van Duyne,Raptors,0,16,0,0
1106,Justin Van Duyne,Suns,0,16,0,0
1107,Justin Van Duyne,Trail Blazers,0,16,2,-2
1108,Justin Van Duyne,Warriors,0,16,0,0
1109,CJ Washington,76ers,0,18,2,-2
1110,John Goble,Thunder,0,17,1,-1
1111,John Goble,Hornets,0,17,0,0
1112,John Goble,Knicks,0,17,1,-1
1113,John Goble,Kings,0,17,2,-2
1114,John Goble,Nuggets,0,17,1,-1
1115,John Goble,Mavericks,0,17,1,-1
1116,John Goble,Grizzlies,0,17,3,-3
1117,John Goble,Wizards,0,17,1,-1
1118,Marc Davis,Timberwolves,0,17,2,-2
1119,Brett Nansel,Rockets,0,16,0,0
1120,Mousa Dagher,Kings,0,22,1,-1
1121,Brandon Schwab,Lakers,0,11,4,-4
1122,Brandon Schwab,Nuggets,0,11,2,-2
1123,Brandon Schwab,Pacers,0,11,0,0
1124,Brandon Schwab,Spurs,0,11,0,0
1125,Brandon Schwab,Clippers,0,11,0,0
1126,Brandon Schwab,Hawks,0,11,0,0
1127,Brandon Schwab,Heat,0,11,0,0
1128,Brandon Schwab,Hornets,0,11,0,0
1129,Zach Zarba,Trail Blazers,0,21,3,-3
1130,Zach Zarba,Suns,0,21,1,-1
1131,Zach Zarba,Kings,0,21,1,-1
1132,Zach Zarba,Heat,0,21,0,0
1133,Zach Zarba,Clippers,0,21,2,-2
1134,Zach Zarba,Celtics,0,21,0,0
1135,Zach Zarba,Bulls,0,21,0,0
1136,Tyler Ford,Nets,0,25,1,-1
1137,Tyler Ford,Jazz,0,25,1,-1
1138,Tyler Ford,Grizzlies,0,25,0,0
1139,Brandon Schwab,Nets,0,11,0,0
1140,Brandon Schwab,Knicks,0,11,0,0
1141,Brett Nansel,Spurs,0,16,1,-1
1142,Brandon Schwab,Wizards,0,11,0,0
1143,Mousa Dagher,Wizards,0,22,0,0
1144,Mousa Dagher,Thunder,0,22,0,0
1145,Mousa Dagher,Raptors,0,22,2,-2
1146,Mousa Dagher,Nets,0,22,2,-2
1147,John Conley,Bucks,0,9,0,0
1148,John Conley,76ers,0,9,0,0
1149,John Conley,Spurs,0,9,0,0
1150,John Conley,Trail Blazers,0,9,0,0
1151,John Conley,Pelicans,0,9,0,0
1152,John Conley,Cavaliers,0,9,1,-1
1153,John Conley,Jazz,0,9,3,-3
1154,Jonathan Sterling,Trail Blazers,0,17,0,0
1155,Jonathan Sterling,Cavaliers,0,17,2,-2
1156,Jonathan Sterling,Magic,0,17,1,-1
1157,Jonathan Sterling,Mavericks,0,17,2,-2
1158,Jonathan Sterling,Grizzlies,0,17,0,0
1159,Jonathan Sterling,Knicks,0,17,0,0
1160,Tyler Ford,Cavaliers,0,25,0,0
1161,Tyler Ford,Suns,0,25,3,-3
1162,Curtis Blair,Warriors,0,17,0,0
1163,Curtis Blair,Rockets,0,17,0,0
1164,Leon Wood,Pistons,0,25,1,-1
1165,Leon Wood,Clippers,0,25,2,-2
1166,Mitchell Ervin,Warriors,0,20,0,0
1167,Mitchell Ervin,Pistons,0,20,0,0
1168,Mitchell Ervin,Pelicans,0,20,1,-1
1169,Mitchell Ervin,Nuggets,0,20,2,-2
1170,Mitchell Ervin,Mavericks,0,20,0,0
1171,Mitchell Ervin,Knicks,0,20,0,0
1172,Mitchell Ervin,Heat,0,20,2,-2
1173,Mitchell Ervin,Celtics,0,20,1,-1
1174,Brett Nansel,Nuggets,0,16,2,-2
1175,Brett Nansel,Pelicans,0,16,0,0
1176,Brett Nansel,Bucks,0,16,2,-2
1177,Brett Nansel,Hawks,0,16,1,-1
1178,Brett Nansel,Hornets,0,16,0,0
1179,Brett Nansel,Kings,0,16,1,-1
1180,Brett Nansel,Pistons,0,16,0,0
1181,Matt Kallio,Timberwolves,0,15,3,-3
1182,Matt Kallio,Thunder,0,15,1,-1
1183,Matt Kallio,Suns,0,15,3,-3
1184,Curtis Blair,Cavaliers,0,17,0,0
1185,Curtis Blair,Raptors,0,17,0,0
1186,Curtis Blair,Magic,0,17,0,0
1187,Curtis Blair,Jazz,0,17,0,0
1188,Curtis Blair,Hawks,0,17,0,0
1189,Curtis Blair,Mavericks,0,17,1,-1
1190,Curtis Blair,Pelicans,0,17,0,0
1191,Curtis Blair,Nets,0,17,2,-2
1192,Curtis Blair,Bulls,0,17,0,0
1193,Matt Kallio,Kings,0,15,4,-4
1194,Kevin Scott,Jazz,0,16,2,-2
1195,Kevin Scott,Lakers,0,16,2,-2
1196,Kevin Scott,Suns,0,16,3,-3
1197,Kevin Scott,Thunder,0,16,1,-1
1198,Matt Kallio,Nuggets,0,15,1,-1
1199,Matt Kallio,Magic,0,15,0,0
1200,Matt Kallio,Lakers,0,15,1,-1
1201,Derrick Collins,Pelicans,0,1,0,0
