,gameId,totalErrors,teamName,opponent,game,gameDate,pointsScored,pointsAllowed,differential
0,22200003,3,Pistons,Magic,Pistons vs Magic,"October 19, 2022",113,109,4
2,22200004,0,Pacers,Wizards,Pacers vs Wizards,"October 19, 2022",107,114,7
4,22200008,3,Raptors,Cavaliers,Raptors vs Cavaliers,"October 19, 2022",108,105,3
6,22200009,3,Grizzlies,Knicks,Grizzlies vs Knicks,"October 19, 2022",115,112,3
8,22200010,1,Timberwolves,Thunder,Timberwolves vs Thunder,"October 19, 2022",115,108,7
10,22200013,1,Suns,Mavericks,Suns vs Mavericks,"October 19, 2022",107,105,2
12,22200014,1,Kings,Trail Blazers,Kings vs Trail Blazers,"October 19, 2022",108,115,7
14,22200015,2,76ers,Bucks,76ers vs Bucks,"October 20, 2022",88,90,2
16,22200018,4,Pacers,Spurs,Pacers vs Spurs,"October 21, 2022",134,137,3
18,22200019,1,Wizards,Bulls,Wizards vs Bulls,"October 21, 2022",102,100,2
20,22200021,1,Nets,Raptors,Nets vs Raptors,"October 21, 2022",109,105,4
22,22200025,1,Timberwolves,Jazz,Timberwolves vs Jazz,"October 21, 2022",126,132,6
24,22200026,1,Warriors,Nuggets,Warriors vs Nuggets,"October 21, 2022",123,128,5
26,22200027,0,Trail Blazers,Suns,Trail Blazers vs Suns,"October 21, 2022",113,111,2
28,22200031,2,Heat,Raptors,Heat vs Raptors,"October 22, 2022",112,109,3
30,22200035,2,Nuggets,Thunder,Nuggets vs Thunder,"October 22, 2022",122,117,5
32,22200036,2,Kings,Clippers,Kings vs Clippers,"October 22, 2022",109,111,2
34,22200037,4,Lakers,Trail Blazers,Lakers vs Trail Blazers,"October 23, 2022",104,106,2
36,22200039,2,Cavaliers,Wizards,Cavaliers vs Wizards,"October 23, 2022",117,107,10
38,22200040,0,Pelicans,Jazz,Pelicans vs Jazz,"October 23, 2022",121,122,1
40,22200045,0,Heat,Raptors,Heat vs Raptors,"October 24, 2022",90,98,8
42,22200048,0,Rockets,Jazz,Rockets vs Jazz,"October 24, 2022",114,108,6
44,22200053,2,Pelicans,Mavericks,Pelicans vs Mavericks,"October 25, 2022",113,111,2
46,22200057,2,Pistons,Hawks,Pistons vs Hawks,"October 26, 2022",113,118,5
48,22200058,4,Knicks,Hornets,Knicks vs Hornets,"October 26, 2022",134,131,3
50,22200066,3,Nets,Mavericks,Nets vs Mavericks,"October 27, 2022",125,129,4
52,22200072,1,Celtics,Cavaliers,Celtics vs Cavaliers,"October 28, 2022",123,132,9
54,22200077,2,Spurs,Bulls,Spurs vs Bulls,"October 28, 2022",129,124,5
56,22200082,3,Hornets,Warriors,Hornets vs Warriors,"October 29, 2022",120,113,7
58,22200084,1,Bulls,76ers,Bulls vs 76ers,"October 29, 2022",109,114,5
60,22200085,1,Bucks,Hawks,Bucks vs Hawks,"October 29, 2022",123,115,8
62,22200086,3,Mavericks,Thunder,Mavericks vs Thunder,"October 29, 2022",111,117,6
64,22200087,3,Jazz,Grizzlies,Jazz vs Grizzlies,"October 29, 2022",124,123,1
66,22200096,1,Hornets,Kings,Hornets vs Kings,"October 31, 2022",108,115,7
68,22200098,5,Nets,Pacers,Nets vs Pacers,"October 31, 2022",116,109,7
70,22200100,1,Bucks,Pistons,Bucks vs Pistons,"October 31, 2022",110,108,2
72,22200102,2,Clippers,Rockets,Clippers vs Rockets,"October 31, 2022",95,93,2
74,22200104,0,Heat,Warriors,Heat vs Warriors,"November 01, 2022",116,109,7
76,22200105,0,Thunder,Magic,Thunder vs Magic,"November 01, 2022",116,108,8
78,22200107,4,Cavaliers,Celtics,Cavaliers vs Celtics,"November 02, 2022",114,113,1
80,22200109,1,Heat,Kings,Heat vs Kings,"November 02, 2022",110,107,3
82,22200115,1,Mavericks,Jazz,Mavericks vs Jazz,"November 02, 2022",103,100,3
84,22200116,3,Trail Blazers,Grizzlies,Trail Blazers vs Grizzlies,"November 02, 2022",106,111,5
86,22200117,2,Lakers,Pelicans,Lakers vs Pelicans,"November 02, 2022",120,117,3
88,22200118,1,Magic,Warriors,Magic vs Warriors,"November 03, 2022",130,129,1
90,22200121,2,Pacers,Heat,Pacers vs Heat,"November 04, 2022",101,99,2
92,22200122,1,76ers,Knicks,76ers vs Knicks,"November 04, 2022",104,106,2
94,22200124,3,Celtics,Bulls,Celtics vs Bulls,"November 04, 2022",123,119,4
96,22200127,3,Mavericks,Raptors,Mavericks vs Raptors,"November 04, 2022",111,110,1
98,22200130,3,Suns,Trail Blazers,Suns vs Trail Blazers,"November 04, 2022",106,108,2
100,22200132,5,Magic,Kings,Magic vs Kings,"November 05, 2022",123,126,3
102,22200133,2,Hornets,Nets,Hornets vs Nets,"November 05, 2022",94,98,4
104,22200134,3,Hawks,Pelicans,Hawks vs Pelicans,"November 05, 2022",124,121,3
106,22200150,1,Heat,Trail Blazers,Heat vs Trail Blazers,"November 07, 2022",107,110,3
108,22200152,3,Grizzlies,Celtics,Grizzlies vs Celtics,"November 07, 2022",106,109,3
110,22200154,1,Spurs,Nuggets,Spurs vs Nuggets,"November 07, 2022",109,115,6
112,22200155,2,Mavericks,Nets,Mavericks vs Nets,"November 07, 2022",96,94,2
114,22200156,2,Warriors,Kings,Warriors vs Kings,"November 07, 2022",116,113,3
116,22200158,3,Clippers,Cavaliers,Clippers vs Cavaliers,"November 07, 2022",119,117,2
118,22200160,4,Pacers,Nuggets,Pacers vs Nuggets,"November 09, 2022",119,122,3
120,22200166,3,Bulls,Pelicans,Bulls vs Pelicans,"November 09, 2022",111,115,4
122,22200168,3,Thunder,Bucks,Thunder vs Bucks,"November 09, 2022",132,136,4
124,22200169,1,Spurs,Grizzlies,Spurs vs Grizzlies,"November 09, 2022",122,124,2
126,22200171,1,Kings,Cavaliers,Kings vs Cavaliers,"November 09, 2022",127,120,7
128,22200174,2,Heat,Hornets,Heat vs Hornets,"November 10, 2022",117,112,5
130,22200182,1,Warriors,Cavaliers,Warriors vs Cavaliers,"November 11, 2022",106,101,5
132,22200183,1,Lakers,Kings,Lakers vs Kings,"November 11, 2022",114,120,6
134,22200190,1,Mavericks,Trail Blazers,Mavericks vs Trail Blazers,"November 12, 2022",117,112,5
136,22200191,1,Pelicans,Rockets,Pelicans vs Rockets,"November 12, 2022",119,106,13
138,22200193,3,Cavaliers,Timberwolves,Cavaliers vs Timberwolves,"November 13, 2022",124,129,5
140,22200195,2,76ers,Jazz,76ers vs Jazz,"November 13, 2022",105,98,7
142,22200199,2,Pistons,Raptors,Pistons vs Raptors,"November 14, 2022",111,115,4
144,22200201,1,Celtics,Thunder,Celtics vs Thunder,"November 14, 2022",126,122,4
146,22200202,4,Heat,Suns,Heat vs Suns,"November 14, 2022",113,112,1
148,22200207,1,Mavericks,Clippers,Mavericks vs Clippers,"November 15, 2022",103,101,2
150,22200209,0,Trail Blazers,Spurs,Trail Blazers vs Spurs,"November 15, 2022",117,110,7
152,22200213,0,Wizards,Thunder,Wizards vs Thunder,"November 16, 2022",120,121,1
154,22200219,0,Nuggets,Knicks,Nuggets vs Knicks,"November 16, 2022",103,106,3
156,22200221,1,Trail Blazers,Nets,Trail Blazers vs Nets,"November 17, 2022",107,109,2
158,22200224,3,Wizards,Heat,Wizards vs Heat,"November 18, 2022",107,106,1
160,22200225,2,Cavaliers,Hornets,Cavaliers vs Hornets,"November 18, 2022",132,122,10
162,22200227,1,Bulls,Magic,Bulls vs Magic,"November 18, 2022",107,108,1
164,22200232,0,Jazz,Suns,Jazz vs Suns,"November 18, 2022",134,133,1
166,22200235,2,Hawks,Raptors,Hawks vs Raptors,"November 19, 2022",124,122,2
168,22200236,1,Pacers,Magic,Pacers vs Magic,"November 19, 2022",114,113,1
170,22200237,5,76ers,Timberwolves,76ers vs Timberwolves,"November 19, 2022",109,112,3
172,22200238,0,Trail Blazers,Jazz,Trail Blazers vs Jazz,"November 19, 2022",113,118,5
174,22200241,0,Wizards,Hornets,Wizards vs Hornets,"November 20, 2022",106,102,4
176,22200242,2,Kings,Pistons,Kings vs Pistons,"November 20, 2022",137,129,8
178,22200245,3,Rockets,Warriors,Rockets vs Warriors,"November 20, 2022",120,127,7
180,22200246,2,Mavericks,Nuggets,Mavericks vs Nuggets,"November 20, 2022",97,98,1
182,22200252,3,Timberwolves,Heat,Timberwolves vs Heat,"November 21, 2022",105,101,4
184,22200257,3,Grizzlies,Kings,Grizzlies vs Kings,"November 22, 2022",109,113,4
186,22200258,5,Nuggets,Pistons,Nuggets vs Pistons,"November 22, 2022",108,110,2
188,22200260,2,Hornets,76ers,Hornets vs 76ers,"November 23, 2022",107,101,6
190,22200267,2,Bucks,Bulls,Bucks vs Bulls,"November 23, 2022",113,118,5
192,22200268,2,Thunder,Nuggets,Thunder vs Nuggets,"November 23, 2022",126,131,5
194,22200272,2,Hornets,Timberwolves,Hornets vs Timberwolves,"November 25, 2022",110,108,2
196,22200274,3,Knicks,Trail Blazers,Knicks vs Trail Blazers,"November 25, 2022",129,132,3
198,22200277,0,Heat,Wizards,Heat vs Wizards,"November 25, 2022",110,107,3
200,22200278,0,Rockets,Hawks,Rockets vs Hawks,"November 25, 2022",128,122,6
202,22200281,1,Thunder,Bulls,Thunder vs Bulls,"November 25, 2022",123,119,4
204,22200283,1,Suns,Pistons,Suns vs Pistons,"November 25, 2022",108,102,6
206,22200286,0,Raptors,Mavericks,Raptors vs Mavericks,"November 26, 2022",105,100,5
208,22200289,2,Suns,Jazz,Suns vs Jazz,"November 26, 2022",113,112,1
210,22200296,0,Knicks,Grizzlies,Knicks vs Grizzlies,"November 27, 2022",123,127,4
212,22200299,0,76ers,Hawks,76ers vs Hawks,"November 28, 2022",104,101,3
214,22200304,4,Pelicans,Thunder,Pelicans vs Thunder,"November 28, 2022",105,101,4
216,22200307,0,Kings,Suns,Kings vs Suns,"November 28, 2022",117,122,5
218,22200308,1,Lakers,Pacers,Lakers vs Pacers,"November 28, 2022",115,116,1
220,22200310,1,Mavericks,Warriors,Mavericks vs Warriors,"November 29, 2022",116,113,3
222,22200311,1,Trail Blazers,Clippers,Trail Blazers vs Clippers,"November 29, 2022",112,118,6
224,22200316,0,Knicks,Bucks,Knicks vs Bucks,"November 30, 2022",103,109,6
226,22200319,0,Thunder,Spurs,Thunder vs Spurs,"November 30, 2022",119,111,8
228,22200325,1,Pistons,Mavericks,Pistons vs Mavericks,"December 01, 2022",131,125,6
230,22200326,4,Hornets,Wizards,Hornets vs Wizards,"December 02, 2022",117,116,1
232,22200328,0,Celtics,Heat,Celtics vs Heat,"December 02, 2022",116,120,4
234,22200331,1,Bucks,Lakers,Bucks vs Lakers,"December 02, 2022",129,133,4
236,22200334,1,Suns,Rockets,Suns vs Rockets,"December 02, 2022",121,122,1
238,22200343,2,Jazz,Trail Blazers,Jazz vs Trail Blazers,"December 03, 2022",111,116,5
240,22200352,1,Hornets,Clippers,Hornets vs Clippers,"December 05, 2022",117,119,2
242,22200356,4,Rockets,76ers,Rockets vs 76ers,"December 05, 2022",132,123,9
244,22200362,3,Nuggets,Mavericks,Nuggets vs Mavericks,"December 06, 2022",115,116,1
246,22200363,2,Magic,Clippers,Magic vs Clippers,"December 07, 2022",116,111,5
248,22200364,1,Nets,Hornets,Nets vs Hornets,"December 07, 2022",122,116,6
250,22200367,1,Bulls,Wizards,Bulls vs Wizards,"December 07, 2022",115,111,4
252,22200370,1,Timberwolves,Pacers,Timberwolves vs Pacers,"December 07, 2022",121,115,6
254,22200371,2,Pelicans,Pistons,Pelicans vs Pistons,"December 07, 2022",104,98,6
256,22200372,2,Jazz,Warriors,Jazz vs Warriors,"December 07, 2022",124,123,1
258,22200374,2,Heat,Clippers,Heat vs Clippers,"December 08, 2022",115,110,5
260,22200376,1,Trail Blazers,Nuggets,Trail Blazers vs Nuggets,"December 08, 2022",120,121,1
262,22200379,0,Magic,Raptors,Magic vs Raptors,"December 09, 2022",113,109,4
264,22200380,2,Nets,Hawks,Nets vs Hawks,"December 09, 2022",120,116,4
266,22200381,0,Cavaliers,Kings,Cavaliers vs Kings,"December 09, 2022",95,106,11
268,22200382,2,76ers,Lakers,76ers vs Lakers,"December 09, 2022",133,122,11
270,22200386,3,Mavericks,Bucks,Mavericks vs Bucks,"December 09, 2022",105,106,1
272,22200387,0,Heat,Spurs,Heat vs Spurs,"December 10, 2022",111,115,4
274,22200388,2,Pacers,Nets,Pacers vs Nets,"December 10, 2022",133,136,3
276,22200389,1,Wizards,Clippers,Wizards vs Clippers,"December 10, 2022",107,114,7
278,22200393,1,Nuggets,Jazz,Nuggets vs Jazz,"December 10, 2022",115,110,5
280,22200395,0,Pelicans,Suns,Pelicans vs Suns,"December 11, 2022",129,124,5
282,22200396,2,Pistons,Lakers,Pistons vs Lakers,"December 11, 2022",117,124,7
284,22200400,0,Hawks,Bulls,Hawks vs Bulls,"December 11, 2022",123,122,1
286,22200401,0,Rockets,Bucks,Rockets vs Bucks,"December 11, 2022",97,92,5
288,22200406,2,Spurs,Cavaliers,Spurs vs Cavaliers,"December 12, 2022",112,111,1
290,22200413,1,Lakers,Celtics,Lakers vs Celtics,"December 13, 2022",118,122,4
292,22200414,3,Hornets,Pistons,Hornets vs Pistons,"December 14, 2022",134,141,7
294,22200415,2,Pacers,Warriors,Pacers vs Warriors,"December 14, 2022",125,119,6
296,22200417,1,Raptors,Kings,Raptors vs Kings,"December 14, 2022",123,124,1
298,22200418,2,Bulls,Knicks,Bulls vs Knicks,"December 14, 2022",120,128,8
300,22200419,4,Thunder,Heat,Thunder vs Heat,"December 14, 2022",108,110,2
302,22200424,2,Rockets,Heat,Rockets vs Heat,"December 15, 2022",108,111,3
304,22200426,0,Jazz,Pelicans,Jazz vs Pelicans,"December 15, 2022",132,129,3
306,22200431,3,Cavaliers,Pacers,Cavaliers vs Pacers,"December 16, 2022",118,112,6
308,22200433,1,Raptors,Nets,Raptors vs Nets,"December 16, 2022",116,119,3
310,22200435,1,Thunder,Timberwolves,Thunder vs Timberwolves,"December 16, 2022",110,112,2
312,22200440,2,Cavaliers,Mavericks,Cavaliers vs Mavericks,"December 17, 2022",100,99,1
314,22200444,0,Suns,Pelicans,Suns vs Pelicans,"December 17, 2022",118,114,4
316,22200445,0,Celtics,Magic,Celtics vs Magic,"December 18, 2022",92,95,3
318,22200446,0,Pacers,Knicks,Pacers vs Knicks,"December 18, 2022",106,109,3
320,22200447,1,Pistons,Nets,Pistons vs Nets,"December 18, 2022",121,124,3
322,22200450,1,Nuggets,Hornets,Nuggets vs Hornets,"December 18, 2022",119,115,4
324,22200451,0,Lakers,Wizards,Lakers vs Wizards,"December 18, 2022",119,117,2
326,22200453,3,76ers,Raptors,76ers vs Raptors,"December 19, 2022",104,101,3
328,22200454,2,Hawks,Magic,Hawks vs Magic,"December 19, 2022",126,125,1
330,22200457,0,Pelicans,Bucks,Pelicans vs Bucks,"December 19, 2022",119,128,9
332,22200458,0,Thunder,Trail Blazers,Thunder vs Trail Blazers,"December 19, 2022",123,121,2
334,22200460,1,Kings,Hornets,Kings vs Hornets,"December 19, 2022",119,125,6
336,22200464,0,Suns,Wizards,Suns vs Wizards,"December 20, 2022",110,113,3
338,22200468,1,Hawks,Bulls,Hawks vs Bulls,"December 21, 2022",108,110,2
340,22200471,1,Knicks,Raptors,Knicks vs Raptors,"December 21, 2022",106,113,7
342,22200473,6,Timberwolves,Mavericks,Timberwolves vs Mavericks,"December 21, 2022",99,104,5
344,22200474,0,Thunder,Trail Blazers,Thunder vs Trail Blazers,"December 21, 2022",101,98,3
346,22200480,0,76ers,Clippers,76ers vs Clippers,"December 23, 2022",119,114,5
348,22200485,0,Knicks,Bulls,Knicks vs Bulls,"December 23, 2022",117,118,1
350,22200486,1,Heat,Pacers,Heat vs Pacers,"December 23, 2022",108,111,3
352,22200487,0,Rockets,Mavericks,Rockets vs Mavericks,"December 23, 2022",106,112,6
354,22200488,2,Thunder,Pelicans,Thunder vs Pelicans,"December 23, 2022",125,128,3
356,22200492,2,Lakers,Hornets,Lakers vs Hornets,"December 23, 2022",130,134,4
358,22200497,1,Nuggets,Suns,Nuggets vs Suns,"December 25, 2022",128,125,3
360,22200499,0,Pistons,Clippers,Pistons vs Clippers,"December 26, 2022",131,142,11
362,22200500,1,Heat,Timberwolves,Heat vs Timberwolves,"December 26, 2022",113,110,3
364,22200503,0,Spurs,Jazz,Spurs vs Jazz,"December 26, 2022",126,122,4
366,22200506,1,Wizards,76ers,Wizards vs 76ers,"December 27, 2022",116,111,5
368,22200512,1,Mavericks,Knicks,Mavericks vs Knicks,"December 27, 2022",126,121,5
370,22200513,0,Warriors,Hornets,Warriors vs Hornets,"December 27, 2022",110,105,5
372,22200517,0,Hawks,Nets,Hawks vs Nets,"December 28, 2022",107,108,1
374,22200519,2,Bulls,Bucks,Bulls vs Bucks,"December 28, 2022",119,113,6
376,22200520,0,Pelicans,Timberwolves,Pelicans vs Timberwolves,"December 28, 2022",119,118,1
378,22200521,1,Warriors,Jazz,Warriors vs Jazz,"December 28, 2022",112,107,5
380,22200522,3,Kings,Nuggets,Kings vs Nuggets,"December 28, 2022",127,126,1
382,22200524,0,Pacers,Cavaliers,Pacers vs Cavaliers,"December 29, 2022",135,126,9
384,22200525,2,Celtics,Clippers,Celtics vs Clippers,"December 29, 2022",116,110,6
386,22200530,1,Hawks,Lakers,Hawks vs Lakers,"December 30, 2022",121,130,9
388,22200531,0,Raptors,Suns,Raptors vs Suns,"December 30, 2022",113,104,9
390,22200535,2,Nuggets,Heat,Nuggets vs Heat,"December 30, 2022",124,119,5
392,22200536,0,Warriors,Trail Blazers,Warriors vs Trail Blazers,"December 30, 2022",118,112,6
394,22200537,0,Kings,Jazz,Kings vs Jazz,"December 30, 2022",126,125,1
396,22200538,0,Pacers,Clippers,Pacers vs Clippers,"December 31, 2022",131,130,1
398,22200540,1,Bulls,Cavaliers,Bulls vs Cavaliers,"December 31, 2022",102,103,1
400,22200542,2,Spurs,Mavericks,Spurs vs Mavericks,"December 31, 2022",125,126,1
402,22200546,1,Jazz,Heat,Jazz vs Heat,"December 31, 2022",123,126,3
404,22200552,2,Cavaliers,Bulls,Cavaliers vs Bulls,"January 02, 2023",145,134,11
406,22200554,0,76ers,Pelicans,76ers vs Pelicans,"January 02, 2023",120,111,9
408,22200556,0,Rockets,Mavericks,Rockets vs Mavericks,"January 02, 2023",106,111,5
410,22200558,6,Warriors,Hawks,Warriors vs Hawks,"January 02, 2023",143,141,2
412,22200563,1,Jazz,Kings,Jazz vs Kings,"January 03, 2023",115,117,2
414,22200565,2,Cavaliers,Suns,Cavaliers vs Suns,"January 04, 2023",90,88,2
416,22200567,7,76ers,Pacers,76ers vs Pacers,"January 04, 2023",129,126,3
418,22200568,3,Knicks,Spurs,Knicks vs Spurs,"January 04, 2023",117,114,3
420,22200569,4,Raptors,Bucks,Raptors vs Bucks,"January 04, 2023",101,104,3
422,22200573,0,Warriors,Pistons,Warriors vs Pistons,"January 04, 2023",119,122,3
424,22200574,0,Lakers,Heat,Lakers vs Heat,"January 04, 2023",112,109,3
426,22200575,0,Kings,Hawks,Kings vs Hawks,"January 04, 2023",117,120,3
428,22200580,0,Pacers,Trail Blazers,Pacers vs Trail Blazers,"January 06, 2023",108,99,9
430,22200582,1,Raptors,Knicks,Raptors vs Knicks,"January 06, 2023",108,112,4
432,22200586,0,Pelicans,Nets,Pelicans vs Nets,"January 06, 2023",102,108,6
434,22200591,5,Spurs,Celtics,Spurs vs Celtics,"January 07, 2023",116,121,5
436,22200595,1,Kings,Lakers,Kings vs Lakers,"January 07, 2023",134,136,2
438,22200598,0,Pacers,Hornets,Pacers vs Hornets,"January 08, 2023",116,111,5
440,22200599,1,Heat,Nets,Heat vs Nets,"January 08, 2023",101,102,1
442,22200604,2,Clippers,Hawks,Clippers vs Hawks,"January 08, 2023",108,112,4
444,22200606,0,Celtics,Bulls,Celtics vs Bulls,"January 09, 2023",107,99,8
446,22200607,2,Knicks,Bucks,Knicks vs Bucks,"January 09, 2023",107,111,4
448,22200611,1,Heat,Thunder,Heat vs Thunder,"January 10, 2023",112,111,1
450,22200614,0,Jazz,Cavaliers,Jazz vs Cavaliers,"January 10, 2023",116,114,2
452,22200616,1,Trail Blazers,Magic,Trail Blazers vs Magic,"January 10, 2023",106,109,3
454,22200619,0,Wizards,Bulls,Wizards vs Bulls,"January 11, 2023",100,97,3
456,22200620,2,Hawks,Bucks,Hawks vs Bucks,"January 11, 2023",105,114,9
458,22200622,3,Knicks,Pacers,Knicks vs Pacers,"January 11, 2023",119,113,6
460,22200623,2,Grizzlies,Spurs,Grizzlies vs Spurs,"January 11, 2023",135,129,6
462,22200630,7,Lakers,Mavericks,Lakers vs Mavericks,"January 12, 2023",115,119,4
464,22200631,2,Trail Blazers,Cavaliers,Trail Blazers vs Cavaliers,"January 12, 2023",113,119,6
466,22200633,1,Pacers,Hawks,Pacers vs Hawks,"January 13, 2023",111,113,2
468,22200634,0,Wizards,Knicks,Wizards vs Knicks,"January 13, 2023",108,112,4
470,22200638,0,Jazz,Magic,Jazz vs Magic,"January 13, 2023",112,108,4
472,22200646,2,Jazz,76ers,Jazz vs 76ers,"January 14, 2023",117,118,1
474,22200653,0,Nuggets,Magic,Nuggets vs Magic,"January 15, 2023",119,116,3
476,22200655,0,Lakers,76ers,Lakers vs 76ers,"January 15, 2023",112,113,1
478,22200659,0,Knicks,Raptors,Knicks vs Raptors,"January 16, 2023",121,123,2
480,22200662,0,Timberwolves,Jazz,Timberwolves vs Jazz,"January 16, 2023",125,126,1
482,22200664,1,Lakers,Rockets,Lakers vs Rockets,"January 16, 2023",140,132,8
484,22200670,0,Mavericks,Hawks,Mavericks vs Hawks,"January 18, 2023",122,130,8
486,22200671,0,Rockets,Hornets,Rockets vs Hornets,"January 18, 2023",117,122,5
488,22200672,0,Grizzlies,Cavaliers,Grizzlies vs Cavaliers,"January 18, 2023",115,114,1
490,22200676,1,Nuggets,Timberwolves,Nuggets vs Timberwolves,"January 18, 2023",122,118,4
492,22200677,4,Lakers,Kings,Lakers vs Kings,"January 18, 2023",111,116,5
494,22200679,5,Celtics,Warriors,Celtics vs Warriors,"January 19, 2023",121,118,3
496,22200680,1,Timberwolves,Raptors,Timberwolves vs Raptors,"January 19, 2023",128,126,2
498,22200681,1,Suns,Nets,Suns vs Nets,"January 19, 2023",117,112,5
500,22200689,2,Jazz,Nets,Jazz vs Nets,"January 20, 2023",106,117,11
502,22200690,1,Lakers,Grizzlies,Lakers vs Grizzlies,"January 20, 2023",122,121,1
504,22200691,3,Kings,Thunder,Kings vs Thunder,"January 20, 2023",118,113,5
506,22200692,2,Raptors,Celtics,Raptors vs Celtics,"January 21, 2023",104,106,2
508,22200694,2,Hawks,Hornets,Hawks vs Hornets,"January 21, 2023",118,122,4
510,22200697,1,Suns,Pacers,Suns vs Pacers,"January 21, 2023",112,107,5
512,22200698,2,Kings,76ers,Kings vs 76ers,"January 21, 2023",127,129,2
514,22200699,0,Heat,Pelicans,Heat vs Pelicans,"January 22, 2023",100,96,4
516,22200702,4,Nuggets,Thunder,Nuggets vs Thunder,"January 22, 2023",99,101,2
518,22200703,0,Suns,Grizzlies,Suns vs Grizzlies,"January 22, 2023",112,110,2
520,22200704,0,Warriors,Nets,Warriors vs Nets,"January 22, 2023",116,120,4
522,22200709,1,Rockets,Timberwolves,Rockets vs Timberwolves,"January 23, 2023",119,114,5
524,22200713,1,Pacers,Bulls,Pacers vs Bulls,"January 24, 2023",116,110,6
526,22200714,0,Heat,Celtics,Heat vs Celtics,"January 24, 2023",98,95,3
528,22200715,3,Knicks,Cavaliers,Knicks vs Cavaliers,"January 24, 2023",105,103,2
530,22200716,2,Pelicans,Nuggets,Pelicans vs Nuggets,"January 24, 2023",98,99,1
532,22200717,1,Mavericks,Wizards,Mavericks vs Wizards,"January 24, 2023",126,127,1
534,22200721,2,76ers,Nets,76ers vs Nets,"January 25, 2023",137,133,4
536,22200725,0,Thunder,Hawks,Thunder vs Hawks,"January 25, 2023",132,137,5
538,22200726,1,Warriors,Grizzlies,Warriors vs Grizzlies,"January 25, 2023",122,120,2
540,22200730,3,Celtics,Knicks,Celtics vs Knicks,"January 26, 2023",117,120,3
542,22200734,2,Suns,Mavericks,Suns vs Mavericks,"January 26, 2023",95,99,4
544,22200738,2,Heat,Magic,Heat vs Magic,"January 27, 2023",110,105,5
546,22200741,1,76ers,Nuggets,76ers vs Nuggets,"January 28, 2023",126,119,7
548,22200743,0,Pistons,Rockets,Pistons vs Rockets,"January 28, 2023",114,117,3
550,22200748,1,Spurs,Suns,Spurs vs Suns,"January 28, 2023",118,128,10
552,22200749,3,Celtics,Lakers,Celtics vs Lakers,"January 28, 2023",125,121,4
